Country Name,Indicator Name,Year,Value
Europe & Central Asia,"Life expectancy at birth, total (years)",1962,67.48931558
European Union,"Life expectancy at birth, total (years)",1962,69.51456838
Europe & Central Asia,"Life expectancy at birth, total (years)",1967,68.64869206
European Union,"Life expectancy at birth, total (years)",1967,70.67725898
Europe & Central Asia,"Life expectancy at birth, total (years)",1972,69.34939155
European Union,"Life expectancy at birth, total (years)",1972,71.41381483
Europe & Central Asia,"Life expectancy at birth, total (years)",1977,69.89160134
European Union,"Life expectancy at birth, total (years)",1977,72.40873981
Europe & Central Asia,"Life expectancy at birth, total (years)",1982,70.76184293
European Union,"Life expectancy at birth, total (years)",1982,73.46395216
Europe & Central Asia,"Life expectancy at birth, total (years)",1987,71.89381676
European Union,"Life expectancy at birth, total (years)",1987,74.38688872
Europe & Central Asia,"Life expectancy at birth, total (years)",1992,71.906807
European Union,"Life expectancy at birth, total (years)",1992,75.28681784
Europe & Central Asia,"Life expectancy at birth, total (years)",1997,72.58401698
European Union,"Life expectancy at birth, total (years)",1997,76.35870711
Europe & Central Asia,"Life expectancy at birth, total (years)",2002,73.4002038
European Union,"Life expectancy at birth, total (years)",2002,77.60548207
Europe & Central Asia,"Life expectancy at birth, total (years)",2007,74.92140241
European Union,"Life expectancy at birth, total (years)",2007,78.96821027
